City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saipan,15.1355,145.701,28.39,78,40,6.17,MP,1736808351
84,whitehorse,60.7161,-135.0538,1.43,64,75,6.17,CA,1736808133
85,guantanamo,20.1444,-75.2092,22.84,81,8,0.79,CU,1736808354
86,adamstown,-25.066,-130.1015,23.82,86,98,8.5,PN,1736808355
87,bredasdorp,-34.5322,20.0403,19.79,75,97,1.06,ZA,1736808124
88,sodra sandby,56.5667,16.6167,2.92,90,100,8.83,SE,1736808357
89,wailua homesteads,22.0669,-159.378,26.44,86,40,5.66,US,1736808154
90,coalcoman de vazquez pallares,18.7833,-103.15,24.26,54,84,1.39,MX,1736808359
91,longyearbyen,78.2186,15.6401,-13.09,72,40,6.69,SJ,1736808360
92,lubana,56.9,26.7167,-0.02,91,66,5.37,LV,1736808361
93,ilulissat,69.2167,-51.1,-33.8,92,69,2.39,GL,1736808110
94,pudozh,61.8099,36.5345,-5.32,92,100,5.66,RU,1736808364
95,tumayr,25.7039,45.868,10.36,55,0,2.76,SA,1736808365
96,kingston,17.997,-76.7936,27.53,74,75,5.66,JM,1736808142
97,choele choel,-39.2667,-65.6833,28.93,19,90,5.88,AR,1736808368
98,jamestown,42.097,-79.2353,-4.43,82,100,3.09,US,1736808217
99,atafu village,-8.5421,-172.5159,25.65,86,100,11.68,TK,1736808248
100,sitka,57.0531,-135.33,7.94,71,100,9.26,US,1736808371
101,tabou,4.423,-7.3528,26.54,84,58,3.6,CI,1736808372
102,sovetskaya gavan',48.9723,140.2878,-20.91,96,80,1.85,RU,1736808374
103,essaouira,31.5125,-9.77,16.72,36,0,4.63,MA,1736808375
104,praia da vitoria,38.7333,-27.0667,18.14,94,75,9.27,PT,1736808376
105,tutoia,-2.7619,-42.2744,25.19,88,64,4.09,BR,1736808377
106,ribeira grande,38.5167,-28.7,19.32,88,75,8.49,PT,1736808378
107,kodiak,57.79,-152.4072,2.73,75,0,3.6,US,1736808379
108,fujin,47.26,132.0322,-16.71,98,100,1.58,CN,1736808380
109,tsiombe,-25.3,45.4833,24.45,98,21,0.89,MG,1736808381
